read_name	ref_name	ident	cigar	MD tag
ERR3586961.1941	1	1.0	4S97M	97
ERR3586961.1941	1	0.9895833333333334	96M5S	84T11
ERR3586961.1956	1	1.0	3S98M	98
ERR3586961.1956	1	1.0	100M	100
ERR3586961.1970	1	0.98989898989899	2S99M	87C11
ERR3586961.1970	1	0.9900990099009901	101M	35C65
ERR3586961.1971	1	1.0	3S98M	98
ERR3586961.1971	1	0.9801980198019802	101M	50C8A41
ERR3586961.1975	1	0.98989898989899	2S99M	35T63
ERR3586961.1975	1	1.0	92M	92
ERR3586961.2005	1	0.98989898989899	2S99M	7C91
ERR3586961.2023	1	0.9895833333333334	5S96M	8T87
ERR3586961.2023	1	1.0	101M	101
ERR3586961.2043	1	1.0	3S98M	98
ERR3586961.2043	1	0.9801980198019802	101M	44C8A47
ERR3586961.2070	1	1.0	3S98M	98
ERR3586961.2070	1	0.9702970297029703	101M	69T5C9C15
ERR3586961.2105	1	0.9897959183673469	3S98M	38G59
ERR3586961.2105	1	0.9801980198019802	101M	44C8A47
ERR3586961.2110	1	1.0	98M3S	98
ERR3586961.2110	1	1.0	101M	101
ERR3586961.2122	1	1.0	3S97M	97
ERR3586961.2122	1	1.0	101M	101
ERR3586961.2138	1	1.0	98M3S	98
ERR3586961.2138	1	0.9791666666666666	96M	11A24A59
ERR3586961.2140	1	1.0	98M3S	98
ERR3586961.2140	1	0.9690721649484536	97M	0G11A24A59
ERR3586961.2186	1	0.9897959183673469	3S98M	87T10
ERR3586961.2186	1	0.9895833333333334	96M4S	5T90
ERR3586961.2193	1	0.98989898989899	2S99M	92C6
ERR3586961.2193	1	0.9801980198019802	101M	52C38A9
ERR3586961.2206	1	0.9897959183673469	3S98M	26A71
ERR3586961.2206	1	0.98	100M	6A89G3
ERR3586961.2278	1	0.9897959183673469	3S98M	25A72
ERR3586961.2278	1	0.96	100M	23T0T0C0A73
ERR3586961.2294	1	0.9897959183673469	3S98M	32C65
ERR3586961.2294	1	1.0	101M	101
ERR3586961.2295	1	1.0	3S98M	98
ERR3586961.2295	1	1.0	3S98M	98
ERR3586961.2296	1	0.9876543209876543	3S81M	6C74
ERR3586961.2296	1	0.9603960396039604	101M	28C8A57G2G2
ERR3586961.2308	1	0.9897959183673469	3S98M	96C1
ERR3586961.2308	1	0.9801980198019802	101M	37C8A54
ERR3586961.2317	1	0.9897959183673469	3S98M	40T57
ERR3586961.2317	1	0.9900990099009901	101M	95A5
ERR3586961.2353	1	0.9897959183673469	3S98M	47T50
ERR3586961.2353	1	0.9801980198019802	101M	9T90G0
ERR3586961.2359	1	0.9838709677419355	3S62M	7C54
ERR3586961.2359	1	0.967741935483871	3S62M	7C52T1
ERR3586961.2374	1	1.0	7S94M	94
ERR3586961.2374	1	0.9603960396039604	101M	16C16T47A14T4
ERR3586961.2392	1	0.9897959183673469	98M3S	47G50
ERR3586961.2392	1	0.97	100M	3T6T75G13
ERR3586961.2402	1	1.0	91M2S	91
ERR3586961.2402	1	1.0	91M2S	91
ERR3586961.2411	1	0.9894736842105263	3S95M3S	49A45
ERR3586961.2411	1	0.9893617021276596	7S94M	49A44
ERR3586961.2413	1	1.0	3S98M	98
ERR3586961.2413	1	1.0	96M5S	96
ERR3586961.2419	1	0.9655172413793104	2S58M	40T14A2
ERR3586961.2419	1	0.9655172413793104	2S58M	40T14A2
ERR3586961.2421	1	0.9897959183673469	3S98M	74T23
ERR3586961.2421	1	0.9900990099009901	101M	92A8
ERR3586961.2426	1	1.0	3S98M	98
ERR3586961.2426	1	0.9603960396039604	101M	32C8A8A11C38
ERR3586961.2428	1	0.9795918367346939	3S98M	12G84T0
ERR3586961.2473	1	0.9897959183673469	3S98M	62T35
ERR3586961.2473	1	0.9795918367346939	98M	20C75C1
ERR3586961.2502	1	1.0	98M3S	98
ERR3586961.2505	1	1.0	3S98M	98
ERR3586961.2505	1	0.9702970297029703	101M	29C8A57G4
ERR3586961.2515	1	1.0	3S98M	98
ERR3586961.2515	1	1.0	101M	101
ERR3586961.2524	1	0.9897959183673469	3S98M	12C85
ERR3586961.2524	1	0.9801980198019802	101M	53C38A8
ERR3586961.2580	1	1.0	99M2S	99
ERR3586961.2580	1	1.0	101M	101
ERR3586961.2592	1	0.9897959183673469	3S98M	50T47
ERR3586961.2613	1	1.0	3S98M	98
ERR3586961.2613	1	0.9801980198019802	98M1D3M	32C8A56^C3
ERR3586961.2646	1	0.9801980198019802	101M	0A74A25
ERR3586961.2646	1	0.9615384615384616	78M22S	9A35C20T11
ERR3586961.2649	1	0.9897959183673469	3S98M	43A54
ERR3586961.2649	1	1.0	101M	101
ERR3586961.2666	1	0.98989898989899	99M2S	63A35
ERR3586961.2666	1	1.0	16S85M	85
ERR3586961.2675	1	1.0	98M3S	98
ERR3586961.2675	1	0.9900990099009901	101M	1T99
ERR3586961.2715	1	0.98	100M	1A24T73
ERR3586961.2715	1	1.0	90M	90
ERR3586961.2734	1	1.0	55M1D43M3S	55^A43
ERR3586961.2734	1	0.9900990099009901	101M	0T100
ERR3586961.2745	1	1.0	2S99M	99
ERR3586961.2745	1	1.0	101M	101
ERR3586961.2773	1	0.9897959183673469	98M3S	78G19
ERR3586961.2773	1	0.9900990099009901	101M	5A95
ERR3586961.2780	1	0.9897959183673469	3S98M	36C61
ERR3586961.2780	1	0.99	100M	85T14
ERR3586961.2783	1	1.0	2S99M	99
ERR3586961.2783	1	0.9801980198019802	101M	41A26C32
ERR3586961.2787	1	1.0	3S98M	98
ERR3586961.2787	1	0.9504950495049505	101M	34C50T0T0C0A12
ERR3586961.2802	1	1.0	3S98M	98
ERR3586961.2802	1	0.9900990099009901	101M	93T7
ERR3586961.2805	1	1.0	3S98M	98
ERR3586961.2805	1	1.0	101M	101
ERR3586961.2813	1	1.0	3S81M	81
ERR3586961.2813	1	0.9702970297029703	101M	31C8A57G2
ERR3586961.2822	1	0.9897959183673469	3S98M	72T25
ERR3586961.2822	1	0.98989898989899	99M2S	7T91
ERR3586961.2823	1	0.9801980198019802	101M	0A93T6
ERR3586961.2823	1	0.97	96M1I3M	42T7T48
ERR3586961.2830	1	0.9797979797979798	2S99M	87C8A2
ERR3586961.2830	1	0.9603960396039604	101M	41C8A29A18G1
ERR3586961.2848	1	1.0	3S98M	98
ERR3586961.2848	1	1.0	101M	101
ERR3586961.2855	1	0.9897959183673469	3S98M	23T74
ERR3586961.2855	1	0.9900990099009901	101M	11T89
ERR3586961.2875	1	1.0	98M3S	98
ERR3586961.2875	1	0.9702970297029703	43M1D58M	0C14A24A2^T58
ERR3586961.2877	1	0.9791666666666666	96M5S	1T55T38
ERR3586961.2877	1	1.0	101M	101
ERR3586961.2884	1	0.9873417721518988	3S79M	64C14
ERR3586961.2884	1	0.9801980198019802	101M	29C67G3
ERR3586961.2895	1	0.9897959183673469	3S98M	79C18
ERR3586961.2895	1	1.0	101M	101
ERR3586961.2922	1	0.9900990099009901	101M	2T98
ERR3586961.2922	1	1.0	101M	101
ERR3586961.2943	1	1.0	11S90M	90
ERR3586961.2943	1	0.9801980198019802	101M	34C8A57
ERR3586961.2948	1	0.9897959183673469	3S98M	27T70
ERR3586961.2948	1	0.9900990099009901	101M	75T25
ERR3586961.2966	1	0.9897959183673469	3S98M	49T48
ERR3586961.2966	1	0.9801980198019802	101M	53C38A8
ERR3586961.2978	1	1.0	3S82M	82
ERR3586961.2978	1	0.9787234042553191	94M7S	28A48C16
ERR3586961.2986	1	0.9897959183673469	3S98M	69T28
ERR3586961.2986	1	0.9693877551020408	98M	16T62T17G0
ERR3586961.3013	1	1.0	3S98M	98
ERR3586961.3013	1	0.9900990099009901	101M	75T25
ERR3586961.3021	1	1.0	3S98M	98
ERR3586961.3021	1	1.0	88M13S	88
ERR3586961.3034	1	1.0	3S98M	98
ERR3586961.3034	1	0.979381443298969	97M	38T34C23
ERR3586961.3059	1	1.0	98M3S	98
ERR3586961.3059	1	1.0	101M	101
ERR3586961.3075	1	1.0	3S98M	98
ERR3586961.3075	1	1.0	101M	101
ERR3586961.3085	1	0.9897959183673469	3S98M	77C20
ERR3586961.3085	1	0.9801980198019802	101M	66C32T1
ERR3586961.3089	1	0.9873417721518988	3S79M	62A16
ERR3586961.3089	1	0.9797979797979798	99M	41C8A48
ERR3586961.3091	1	0.98989898989899	2S99M	71T27
ERR3586961.3091	1	0.9603960396039604	101M	13T30C8A32C14
ERR3586961.3096	1	1.0	3S98M	98
ERR3586961.3096	1	1.0	96M	96
ERR3586961.3106	1	1.0	3S98M	98
ERR3586961.3106	1	0.99	100M	20C79
ERR3586961.3124	1	1.0	5S96M	96
ERR3586961.3124	1	0.9797979797979798	99M2S	36C8A53
ERR3586961.3125	1	0.9897959183673469	3S98M	10G87
ERR3586961.3125	1	0.979381443298969	97M	68C0A27
ERR3586961.3196	1	0.9883720930232558	2S86M	85T0
ERR3586961.3196	1	0.9767441860465116	2S86M	80G4T0
ERR3586961.3205	1	0.9897959183673469	3S98M	49T48
ERR3586961.3205	1	0.9801980198019802	101M	92A2G5
ERR3586961.3281	1	1.0	3S98M	98
ERR3586961.3281	1	1.0	101M	101
ERR3586961.3284	1	0.9895833333333334	3S96M2S	14A81
ERR3586961.3284	1	0.9895833333333334	3S96M2S	14A81
ERR3586961.3286	1	0.9897959183673469	98M3S	75G22
ERR3586961.3286	1	0.9900990099009901	101M	83G17
ERR3586961.3293	1	0.9897959183673469	3S98M	49T48
ERR3586961.3293	1	0.9801980198019802	101M	37C8A54
ERR3586961.3294	1	1.0	3S98M	98
ERR3586961.3294	1	1.0	101M	101
ERR3586961.3302	1	1.0	3S75M	75
ERR3586961.3302	1	1.0	3S75M	75
ERR3586961.3341	1	0.9900990099009901	101M	98G2
ERR3586961.3341	1	1.0	101M	101
ERR3586961.3346	1	0.9900990099009901	101M	100C0
ERR3586961.3346	1	0.979381443298969	4S97M	12A24A59
ERR3586961.3373	1	0.9897959183673469	3S98M	56G41
ERR3586961.3373	1	0.9900990099009901	101M	61C39
ERR3586961.3374	1	1.0	79M1D20M2S	79^A20
ERR3586961.3374	1	1.0	101M	101
ERR3586961.3382	1	0.9897959183673469	3S98M	26T71
ERR3586961.3382	1	0.9702970297029703	101M	51T11G36C0
ERR3586961.3399	1	0.9897959183673469	3S98M	82A15
ERR3586961.3399	1	0.9900990099009901	101M	43A57
ERR3586961.3404	1	0.9897959183673469	3S98M	70C27
ERR3586961.3404	1	0.9702970297029703	101M	36C41G20T1
ERR3586961.3405	1	0.9897959183673469	98M3S	44A53
ERR3586961.3405	1	0.9702970297029703	41M1D60M	13A24A2^T55A4
ERR3586961.3428	1	1.0	5S96M	96
ERR3586961.3428	1	0.9801980198019802	101M	44C8A47
ERR3586961.3460	1	0.9897959183673469	3S98M	75T22
ERR3586961.3460	1	0.9702970297029703	101M	35T35T24T4
ERR3586961.3490	1	1.0	8S93M	93
ERR3586961.3490	1	0.9895833333333334	96M5S	85T10
ERR3586961.3494	1	0.9897959183673469	3S98M	21A76
ERR3586961.3494	1	0.9801980198019802	101M	2A95T2
ERR3586961.3516	1	0.9801980198019802	101M	0G98T1
ERR3586961.3516	1	0.9801980198019802	101M	29G38G32
ERR3586961.3563	1	1.0	3S98M	98
ERR3586961.3563	1	0.9900990099009901	101M	100T0
ERR3586961.3573	1	0.9861111111111112	3S72M	43A28
ERR3586961.3573	1	0.9861111111111112	3S72M	43A28
ERR3586961.3577	1	0.9891304347826086	5S92M4S	5T86
ERR3586961.3581	1	0.9897959183673469	3S98M	11C86
ERR3586961.3581	1	0.9797979797979798	99M	42C8A47
ERR3586961.3598	1	0.9897959183673469	3S98M	78C19
ERR3586961.3611	1	0.9885057471264368	3S87M	56T30
ERR3586961.3611	1	0.9885057471264368	3S87M	56T30
ERR3586961.3644	1	0.9897959183673469	3S98M	73C24
ERR3586961.3644	1	0.9801980198019802	101M	34C64T1
ERR3586961.3649	1	0.9897959183673469	3S98M	19T78
ERR3586961.3649	1	0.9900990099009901	101M	91A9
ERR3586961.3658	1	0.9801980198019802	101M	1A57C41
ERR3586961.3658	1	0.9900990099009901	101M	31C69
ERR3586961.3664	1	1.0	3S98M	98
ERR3586961.3664	1	0.9801980198019802	101M	43C8A48
ERR3586961.3678	1	0.9897959183673469	3S98M	12T85
ERR3586961.3678	1	0.9603960396039604	101M	10C2C14A70A1
ERR3586961.3684	1	1.0	3S98M	98
ERR3586961.3684	1	1.0	101M	101
